id,specificity,detail,usability,clarity,completeness,relevance,overall_score,canonical_json,question,answer
line1,High,High,Medium,High,Medium,High,75,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":75}",What would you consider to be an early maturing maize variety?,A maize variety that matures in 90 days
line2,Low,Low,Low,Low,Low,Medium,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,Variety that i can harvest before short rains end in my area
line3,Very Low,Low,Low,Low,Low,Medium,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,One that allows me to plant another crop in the same season
line4,Low,Medium,Low,Low,Low,High,35,"{""detail"":""Medium"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",What would you consider to be an early maturing maize variety?,Variety that i can harvest before pest destroy it
line5,Medium,High,Low,Low,Medium,High,45,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":45}",What would you consider to be an early maturing maize variety?,Any variety that matures within 3 months
line6,Very Low,Low,Low,Medium,Low,High,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,One that I can harvest before the rains stop
line7,Medium,High,Medium,High,Medium,High,68,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":68}",What would you consider to be an early maturing maize variety?,Maize that matures quickly
line8,Very Low,Low,Very Low,Low,Low,Very Low,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Very Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Very Low"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,The variety I can harvest before my neighbors
line10,Low,Low,Low,Medium,Low,High,30,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":30}",What would you consider to be an early maturing maize variety?,The variety that allows me sell green maize after 3 months of planting
line12,Medium,High,Medium,Medium,High,High,63,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""High"",""relevance"":""High"",""overall_score"":63}",What would you consider to be an early maturing maize variety?,Anything below 100 days I would say is early maturing
line13,Medium,Medium,High,High,Medium,High,68,"{""detail"":""Medium"",""specificity"":""Medium"",""usability"":""High"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":68}",What would you consider to be an early maturing maize variety?,Early means I can harvest my maize in 3 months about 90 to 95 days
line14,Medium,High,Medium,Medium,High,High,68,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""High"",""relevance"":""High"",""overall_score"":68}",What would you consider to be an early maturing maize variety?,"Some maize varieties can be harvested, in 75 days, that is early"
line15,Low,Medium,High,High,Medium,High,63,"{""detail"":""Medium"",""specificity"":""Low"",""usability"":""High"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":63}",What would you consider to be an early maturing maize variety?,"For me if I harvest in exaclty 3 months, that is an early maturing variety"
line16,Low,Medium,Low,High,Medium,High,45,"{""detail"":""Medium"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":45}",What would you consider to be an early maturing maize variety?,Variety that matures faster than traditional/ local variety
line17,Low,Low,Low,Low,Low,Medium,25,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":25}",What would you consider to be an early maturing maize variety?,A variety that i can plant in short rains
line18,Low,Medium,Low,Low,Low,High,35,"{""detail"":""Medium"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",What would you consider to be an early maturing maize variety?,The type my neighbour planted last season
line19,Very Low,Low,Very Low,Low,Low,Medium,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Very Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,A variety that i can plant twice with an year
line20,Low,Low,Low,Medium,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,It matures early even if the rains are short
line21,Medium,High,Low,Medium,Low,High,45,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":45}",What would you consider to be an early maturing maize variety?,Katumani is early maturing
line22,Very Low,Low,Low,Medium,Low,High,30,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":30}",What would you consider to be an early maturing maize variety?,"I planted it last year and harvested in August, that was early"
line23,Very Low,Low,Very Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Very Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,The one I can eat green maize after two months
line24,Medium,High,Low,Medium,Medium,High,63,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":63}",What would you consider to be an early maturing maize variety?,A variety that takes 4 months to produce flowers
line25,High,Medium,Low,Low,Low,High,35,"{""detail"":""Medium"",""specificity"":""High"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",What would you consider to be an early maturing maize variety?,"A variety that after planting, takes 4 months to grow enough to be harvested"
line26,High,Medium,Low,High,Medium,High,45,"{""detail"":""Medium"",""specificity"":""High"",""usability"":""Low"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":45}",What would you consider to be an early maturing maize variety?,A variety that 3 to 4 months before it's ready to be eaten
line27,Medium,High,Medium,Medium,High,High,68,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""High"",""relevance"":""High"",""overall_score"":68}",What would you consider to be an early maturing maize variety?,"This season i planted Sungura which matures very fast, about 75 to 85 days"
line28,Very Low,Low,Very Low,Very Low,Very Low,Very Low,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Very Low"",""clarity"":""Very Low"",""completeness"":""Very Low"",""relevance"":""Very Low"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,Most of them came up fine.
line29,Very Low,Low,Very Low,Very Low,Very Low,Very Low,20,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Very Low"",""clarity"":""Very Low"",""completeness"":""Very Low"",""relevance"":""Very Low"",""overall_score"":20}",What would you consider to be an early maturing maize variety?,Most of them came up fine.
line31,Medium,High,Medium,High,Medium,High,78,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":78}",How long does the maize you currently grow take to mature?,It takes around 3 to 4 months depending on the rains
line32,Medium,High,Low,Medium,Low,High,45,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":45}",How long does the maize you currently grow take to mature?,"It doesn’t take too long, maybe a few months"
line33,Low,Low,Low,Low,Low,Medium,25,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":25}",How long does the maize you currently grow take to mature?,"I’m not sure, I just harvest when it’s ready"
line37,Low,Low,Low,Low,Low,Low,25,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Low"",""overall_score"":25}",How long does the maize you currently grow take to mature?,It takes a long time
line38,Low,Low,Low,Low,Low,Low,25,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Low"",""overall_score"":25}",How long does the maize you currently grow take to mature?,It doesn’t take too long
line41,Low,Low,Low,Medium,Low,High,35,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",How long does the maize you currently grow take to mature?,It’s not too early and not too late
line42,Medium,High,Low,Medium,Low,High,35,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",How long does the maize you currently grow take to mature?,Sometimes it matures faster other times it delays depending on the weather
line43,Low,Low,Low,Low,Low,Low,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Low"",""overall_score"":20}",How long does the maize you currently grow take to mature?,Around the time we start harvesting beans
line44,Medium,High,Medium,Medium,Medium,High,68,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":68}",How long does the maize you currently grow take to mature?,I grow Duma and I am able to harvest in 85 to 90 days
line45,High,High,Medium,High,Medium,High,82,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":82}",How long does the maize you currently grow take to mature?,"Even with little rain, the maize I grow is ready for harvest in less than 90 days"
line47,High,High,Medium,High,Medium,High,83,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":83}",How long does the maize you currently grow take to mature?,"It matures in 3 months or less, around 85 to 90 days"
line48,Medium,High,Medium,Medium,Medium,High,68,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":68}",How long does the maize you currently grow take to mature?,"If the rains are good, it takes 90 days, but if the rains are not that food it will mature faster, in 80 days"
line49,Low,Low,Low,Low,Low,Medium,35,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":35}",How long does the maize you currently grow take to mature?,"This one I grew this season, matured very fast, than what I grew in the previous seasons"
line50,Low,Low,Low,Low,Low,High,35,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",How long does the maize you currently grow take to mature?,Two and a half months then we can eat green maize
line51,Very Low,Low,Low,Medium,Low,High,35,"{""detail"":""Low"",""specificity"":""Very Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",How long does the maize you currently grow take to mature?,It’s usually ready before Christmas
line52,Medium,Medium,Low,High,Low,High,45,"{""detail"":""Medium"",""specificity"":""Medium"",""usability"":""Low"",""clarity"":""High"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":45}",How long does the maize you currently grow take to mature?,We harvest In August if planted in April
line53,Low,Medium,Low,High,Low,High,45,"{""detail"":""Medium"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""High"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":45}",How long does the maize you currently grow take to mature?,It’s ready before the short rains end
line55,Medium,High,High,High,Medium,High,82,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""High"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":82}",How long does the maize you currently grow take to mature?,It takes around 6 months
line56,Medium,Medium,High,High,Medium,High,63,"{""detail"":""Medium"",""specificity"":""Medium"",""usability"":""High"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":63}",How long does the maize you currently grow take to mature?,About a month after I harvest beans
line57,Low,Low,Low,Low,Low,Low,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Low"",""overall_score"":20}",How long does the maize you currently grow take to mature?,Most of them came up fine.
line58,Low,Low,Low,Low,Low,Low,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Low"",""overall_score"":20}",How long does the maize you currently grow take to mature?,Most of them came up fine.
line59,High,High,Medium,Medium,Medium,High,63,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":63}",How much yield would you give up for harvesting earlier?,I would accept loosing 10% of my yield to harvest earlier
line60,Low,Low,Low,Medium,Low,High,35,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",How much yield would you give up for harvesting earlier?,"I wouldn't give up any yield, I would rather harvest late"
line65,Low,Low,Low,Low,Low,Medium,25,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":25}",How much yield would you give up for harvesting earlier?,I would give up few sacks in order to harvest before drought
line67,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,"No yield loss, since i rely on the harvests form my household"
line68,Low,Low,Low,Medium,Low,High,35,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":35}",How much yield would you give up for harvesting earlier?,I’m okay losing some yield if I can earn more by selling green maize ealier than my neighbours
line69,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,I would rather loose a little than loose everything to drought
line70,Low,Low,Low,Medium,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Medium"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,"Even when the rain is not sufficient, the variety still performs well and gives me a harvest"
line71,Low,Medium,High,High,Low,High,45,"{""detail"":""Medium"",""specificity"":""Low"",""usability"":""High"",""clarity"":""High"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":45}",How much yield would you give up for harvesting earlier?,"This year the drought was really bad, I harvested much less than usual. I managed to harvest 12 bags from my 1 acre."
line76,High,High,Medium,High,Medium,High,85,"{""detail"":""High"",""specificity"":""High"",""usability"":""Medium"",""clarity"":""High"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":85}",How much yield would you give up for harvesting earlier?,Utmost one 90kg bag per 1/4 of an acre
line79,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,"I can’t lose yield, food is not enough"
line80,Medium,High,Medium,Medium,Medium,High,63,"{""detail"":""High"",""specificity"":""Medium"",""usability"":""Medium"",""clarity"":""Medium"",""completeness"":""Medium"",""relevance"":""High"",""overall_score"":63}",How much yield would you give up for harvesting earlier?,"I know early maize gives less, maybe two bags less per acre"
line81,Low,Low,Low,Low,Low,Medium,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""Medium"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,It depends on the rains
line82,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line83,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line84,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
line85,Low,Low,Low,Low,Low,High,20,"{""detail"":""Low"",""specificity"":""Low"",""usability"":""Low"",""clarity"":""Low"",""completeness"":""Low"",""relevance"":""High"",""overall_score"":20}",How much yield would you give up for harvesting earlier?,Most of them came up fine.
