Category,Survey Question,Aspired answer,Provided Answer,Provided Answer,Follow-up Question 
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,A maize variety that matures in 90 days,Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Variety that i can harvest before short rains end in my area,incomplete,When do short rains start and end in your area?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,One that allows me to plant another crop in the same season,incomplete,How many days should this variety take to mature to allow you to plant another crop in the same season?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Variety that i can harvest before pest destroy it,incomplete,Within how many days does the maize need to mature to avoid being damaged by those pests?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Any variety that matures within 3 months,Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,One that I can harvest before the rains stop,incomplete,How many months or days of rain do you usually get in your area?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Maize that matures quickly,incomplete,What do you mean by ‘quickly’? How many days or months?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,The variety I can harvest before my neighbors,incomplete,After how many days do most of your neigbours harvest? How may days earllier than your neigbours would you like to harvest?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,The one that avoids the drought period,incomplete,How many months or days after planting does the drought usually start?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,The variety that allows me sell green maize after 3 months of planting,Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Variety that matures quickly enough to allow me to sell green maize early in the season,incomplete,How many days after planting should that variety be ready to be sold as green maize for you to consider it as early maturing?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Anything below 100 days I would say is early maturing,Simple but incomplete,"When you say below 100 days, about how many days would you expect themaize be ready for harvest?"
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Early means I can harvest my maize in 3 months about 90 to 95 days,Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,"Some maize varieties can be harvested, in 75 days, that is early",Partial/Indirect,"That is quite early,  did you plant this varierty and what is the name? "
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,"For me if I harvest in exaclty 3 months, that is an early maturing variety",Complete,
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,Variety that matures faster than traditional/ local variety,incomplete,could you specify the variety and how long it takes to mature?
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,A variety that i can plant in short rains ,incomplete,How many day would that take from plantin to harvesting
Early maturity,What would you consider to be an early maturing maize variety?,range of days considered early from a farmer perspective,The type my neighbour planted last season ,vague answer,please mention the variety
