Category	Survey Question	Provided Answer	Completeness Theme	Follow-up Question 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	I planted more seeds this year 	Partial/Indirect	By day 14 after planting, what percent of seeds became healthy plants? Please give a number like 70%, 85%, etc. 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Better than last year.	Partial/Indirect	What was the percent this season by day 14, and what was it last year? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Only a few gaps here and there.	Partial/Indirect	Out of all planting spots, what percent were empty at 14 days after planting? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	The stand is adequate	Simple but incomplete	Is that 80% measured 14 days after planting and compared to your target spacing? If not, what is the 14‑day percent? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Almost all.	Simple but incomplete	Can you estimate the percent by day 14 (for example 90%, 95%)? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Good stand in the upper half of the field.	Simple but incomplete	What is the field‑average percent live plants at 14 days, not just the upper half? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	At least 85% of seeds should be healthy by day 14 after planting.	Complete	Great—does that 85% refer to this season and this field? If not, what is the percent here this season? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	90% survival by two weeks, counted against my target spacing.	Complete	Please confirm your target plant population (plants/ha) so we can compare 90% to that target. 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Not less than 45,000 plants/ha by 14 days.	Complete	What was your target plants/ha for this field so we can convert 45,000 to a percent? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	I bought certified seed this time.	Attempts that miss key points	Under those conditions, what percent of seeds were healthy by day 14 after planting? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	We planted right after the first big rain.	Attempts that miss key points	After planting, what percent stand did you have at 14 days? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	I used a jab planter instead of a hoe.	Attempts that miss key points	What percent of planting spots had a healthy plant at 14 days after planting? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Most of them.	Vague answer	Can you give a percent healthy plants by day 14—for example 75%, 85%, or 95%? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	I am satisfied with my crop this year.	Vague answer	To confirm, is that 80% at 14 days after planting across the whole field? 
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	A good stand overall.	Vague answer	What exact percent of planting spots had a healthy plant at 14 days? 
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Enough to shade most weeds.	Partial/Indirect	At six weeks, what percent of the ground should be covered—60%, 70%, 80%? 
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	I like it looking ‘closed’ by then.	Partial/Indirect	Please give a percent ground cover at week 6 at midday. 
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Shouldn’t see much bare soil.	Partial/Indirect	What percent ground cover do you want at 6 weeks—e.g., 70%, 80%, 90%? 
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	About three-quarters.	Simple but incomplete	To confirm, is that ~75% ground cover at 6 weeks after planting? 
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	More than half.	Simple but incomplete	Please give a clearer number: what percent ground cover at week 6? 
