Category	Survey Question	Provided Answer
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Most of them came up fine.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Better than last year.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Only a few gaps here and there.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	About 80%.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Almost all.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Good stand in the upper half of the field.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	At least 85% of seeds should be healthy by day 14 after planting.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	90% survival by two weeks, counted against my target spacing.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Not less than 45,000 plants/ha by 14 days.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	I bought certified seed this time.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	We planted right after the first big rain.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	I used a jab planter instead of a hoe.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Most of them.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	Around eight out of ten.
Germination & early stand	After planting, what share of seeds do you expect to grow into healthy plants?	A good stand overall.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Enough to shade most weeds.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	I like it looking ‘closed’ by then.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Shouldn’t see much bare soil.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	About three-quarters.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	More than half.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Good cover in the center rows.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	At least 70% ground cover at 6 weeks.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	75–80% canopy closure by week 6 at midday.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	No less than 70% cover at six weeks after planting.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	I weed twice before topdressing.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	This field has fewer stones than the other one.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	We added manure at planting.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	About three quarters or so.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Enough that weeds don’t bother me much.
Growth (leaf cover)	By six weeks after planting, how much of the ground should be covered by the crop’s leaves?	Quite a lot by then.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Not too low.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Comfortable to reach.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Around waist to chest high.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	About a meter.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Mid-plant.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Higher than my old variety.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	90–110 cm ear height from the ground.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Target ~1.0 m ear placement.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Between 0.9 and 1.1 m so we can pick easily.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	The plants look taller than last year.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	We harvest with family on weekends.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	I prefer varieties with big cobs.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Around waist height.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Not too low, not too high.
Development (ear height)	How high do you like the ears to be from the ground for easy picking?	Comfortable to reach.
Pest & disease tolerance	What is the most pest or disease damage you will accept before you stop using a maize variety?	If worms get out of hand, I switch.
